"glyph_id","char","status","note","form"
"1135","度","confirmed","visual/context 一度だけ/程度","full"
"1136","奴","confirmed","visual/context 奴め/奴ら","full"
"1141","当","confirmed","visual/context 体当たり","full"
"1211","聞","confirmed","visual/context 聞こえてきた/聞かせよ","full"
"361","進","confirmed","visual/context 発進せよ","full"
"385","性","confirmed","visual/context 運動性","full"
"407","発","confirmed","visual/context 発進せよ","full"
"425","改","confirmed","visual/context ザクⅡ改/改めて/改造","full"
"430","量","confirmed","visual/context 技量が上回って","full"
"451","銀","confirmed","visual/context 銀河帝国 and 銀河の果て","full"
"482","女","confirmed","visual/context 女帝ジャネラ","full"
"508","作","confirmed","visual/context 作戦","full"
"533","丈","confirmed","visual/context 大丈夫","full"
"537","部","confirmed","visual/context 部隊","full"
"555","兵","confirmed","visual/context マップ兵器","full"
"557","特","confirmed","visual/context 特殊能力/特殊技能","full"
"558","技","confirmed","visual/context 技量/技能","full"
"566","味","confirmed","visual/context 味方","full"
"571","移","confirmed","visual/context 移動力","full"
"573","能","confirmed","visual/context 特殊能力","full"
"586","修","confirmed","visual/context 修理","full"
"587","理","confirmed","visual/context 修理/無理","full"
"588","造","confirmed","visual/context 改造","full"
"590","器","confirmed","visual/context 武器/兵器","full"
"598","本","confirmed","visual/context 本体/本来","full"
"603","装","confirmed","visual/context 連装ミサイル","full"
"606","最","confirmed","visual/context 最大HP/出力最大","full"
"612","射","confirmed","visual/context 射程","full"
"613","程","confirmed","visual/context 射程/程度","full"
"619","殊","confirmed","visual/context 特殊能力/特殊技能","full"
"624","反","confirmed","visual/context 反撃/反応","full"
"625","応","confirmed","visual/context 反応ロスト","full"
"634","全","confirmed","visual/context 全体移動モード","full"
"641","率","confirmed","visual/context 命中率","full"
"648","終","confirmed","visual/context 終了","full"
"649","了","confirmed","visual/context 終了","full"
"660","以","confirmed","visual/context これ以上/ユニット以外","full"
"707","壊","confirmed","visual/context 破壊","full"
"713","外","confirmed","visual/context 以外","full"
"720","確","confirmed","visual/context 接続を確認","full"
"744","含","confirmed","visual/context 味方含む","full"
"816","兄","confirmed","visual/context お兄ちゃん","full"
"846","後","confirmed","visual/context 最後/後攻/後退","full"
"862","考","confirmed","visual/context 考える","full"
"873","今","confirmed","visual/context 今こそ/今度こそ","full"
"912","視","confirmed","bitmap-corrected 2026-09-17 (seed 属): ROM tile shows 視; context 防御無視ダメー/告を無視","full"
"1016","生","confirmed","visual/context 生と死/生命","full"
"1058","増","confirmed","visual/context 増えます","full"
"1075","対","confirmed","visual/context 対決/対ビーム","full"
"1097","知","confirmed","visual/context 思い知る/恐れを知らぬ","full"
"1114","通","confirmed","visual/context 通用/思った通り","full"
"1159","認","confirmed","visual/context 確認","full"
"1168","破","confirmed","visual/context 破壊/撃破","full"
"1186","彼","confirmed","visual/context 彼ら","full"
"1196","夫","confirmed","visual/context 大丈夫","full"
"1230","砲","confirmed","visual/context バルカン砲","full"
"1237","僕","confirmed","visual/context 僕の方が/僕に力を","full"
"1277","与","confirmed","visual/context ダメージを与えます","full"
"1285","落","confirmed","visual/context 落ちる/落ちろ","full"
"1306","連","confirmed","visual/context 連装ミサイル","full"
"1473","河","confirmed","visual/context 銀河帝国 and 銀河の果て","full"
"1639","倍","confirmed","visual/context 2倍","full"
"316","防","confirmed","bitmap-corrected 2026-09-17 (seed 固): ROM tile shows 防; context ーター防衛戦/ズの攻防","full"
"317","御","confirmed","visual/context 制御回路/姿勢制御/制御室","full"
"321","復","confirmed","visual/context 回復","full"
"378","自","confirmed","visual/context 自爆/自分","full"
"444","甲","confirmed","visual/context 装甲","full"
"471","尉","confirmed","bitmap-corrected 2026-09-17 (seed 佐): ROM tile shows 尉; context マン大尉/マン大尉だ","full"
"579","搭","confirmed","bitmap-corrected 2026-09-17 (seed 変): ROM tile shows 搭; context 搭載/搭乗タイ","full"
"580","載","confirmed","bitmap-corrected 2026-09-17 (seed 形): ROM tile shows 載; context 搭載/置を搭載し","full"
"584","分","confirmed","visual/context 自分/HP分/分離","full"
"585","離","confirmed","visual/context 分離/射程距離外","full"
"597","話","confirmed","visual/context 話ができる/お話中","full"
"654","悪","confirmed","visual/context 悪意/悪しき/悪かった","full"
"693","下","confirmed","visual/context 能力を下げます/落下","full"
"706","解","confirmed","visual/context 理解/了解","full"
"782","距","confirmed","visual/context 射程距離外","full"
"915","事","confirmed","visual/context どういう事/たいした事","full"
"1040","狙","confirmed","visual/context 狙ってきます","full"
"1294","隣","confirmed","visual/context 隣接","full"
"363","不","confirmed","visual/context 不可能/不利","full"
"387","信","confirmed","visual/context 信じる","full"
"388","頼","confirmed","visual/context 頼む/頼り","full"
"402","覚","confirmed","visual/context 覚えた/覚悟","full"
"420","変","confirmed","visual/context 変化なし/変だ","full"
"470","場","confirmed","visual/context 場合/戦場","full"
"480","早","confirmed","visual/context 早い/早かった","full"
"483","博","confirmed","visual/context 博士","full"
"499","向","confirmed","visual/context 方向/向いて","full"
"516","勝","confirmed","visual/context 勝てない/勝ち","full"
"518","子","confirmed","visual/context 粒子砲","full"
"532","万","confirmed","visual/context 万丈/万事/万が一","full"
"577","待","confirmed","visual/context 待ちなさい/待って","full"
"591","強","confirmed","visual/context 強化L1","full"
"614","弾","confirmed","visual/context 弾切れ/被弾状況","full"
"639","的","confirmed","visual/context 作戦目的/的確","full"
"642","目","confirmed","visual/context 作戦目的/勝ち目","full"
"643","利","confirmed","visual/context 勝利/不利","full"
"668","違","confirmed","visual/context 違う/間違い","full"
"705","会","confirmed","visual/context お会いする/また会おう","full"
"731","感","confirmed","visual/context 感じる","full"
"771","急","confirmed","visual/context 急げ","full"
"790","況","confirmed","visual/context 被弾状況","full"
"824","圏","confirmed","visual/context 地球圏/大気圏","full"
"836","現","confirmed","visual/context 出現/現れた","full"
"837","言","confirmed","visual/context 言ってる/と言う","full"
"878","佐","confirmed","bitmap-corrected 2026-09-17 (seed 尉): ROM tile shows 佐; context 大佐のとこ/大佐を困ら","full"
"891","殺","confirmed","visual/context 殺す/殺して","full"
"919","持","confirmed","visual/context 持つ/持たない","full"
"942","受","confirmed","visual/context 受け入れよ","full"
"962","緒","confirmed","visual/context 一緒","full"
"969","少","confirmed","visual/context 少し/少女","full"
"986","状","confirmed","visual/context 被弾状況","full"
"996","心","confirmed","visual/context 心配/心得/安心/中心地","full"
"1085","誰","confirmed","visual/context 誰にも/誰が","full"
"1093","団","confirmed","visual/context 軍団/BF団","full"
"1138","倒","confirmed","visual/context 倒せる/倒さず","full"
"1146","逃","confirmed","visual/context 逃げる","full"
"1149","同","confirmed","visual/context 同じ/同時","full"
"1174","配","confirmed","visual/context 支配下","full"
"1202","負","confirmed","visual/context 負ける","full"
"1251","滅","confirmed","visual/context 全滅/破滅","full"
"1258","問","confirmed","visual/context 問答無用/問題","full"
"364","可","confirmed","visual/context 可能/不可能","full"
"412","情","confirmed","visual/context 情けない/情報","full"
"414","再","confirmed","visual/context 再動/再び/再来","full"
"421","化","confirmed","visual/context 変化なし/強化","full"
"502","明","confirmed","visual/context 明日/説明/明神/孔明/不明機","full"
"534","結","confirmed","visual/context 結果","full"
"544","児","confirmed","visual/context 甲児","full"
"605","界","confirmed","visual/context 世界/限界","full"
"629","備","confirmed","visual/context 装備","full"
"667","異","confirmed","visual/context 異常","full"
"712","開","confirmed","visual/context 開始/開け","full"
"729","完","confirmed","visual/context 完全回避/完了","full"
"754","帰","confirmed","visual/context 帰る/帰さぬ","full"
"781","許","confirmed","visual/context 許さん/許せない","full"
"804","近","confirmed","visual/context 近づく","full"
"850","光","confirmed","visual/context 光子力/破壊光線/熱光線","full"
"887","在","confirmed","visual/context 存在/健在/自在","full"
"888","財","confirmed","visual/context ロームフェラ財団","full"
"901","始","confirmed","visual/context 始動/始める","full"
"906","支","confirmed","visual/context 支配下","full"
"923","失","confirmed","visual/context 失敗/失礼/消え失せろ","full"
"925","実","confirmed","visual/context 実力/実戦","full"
"937","守","confirmed","visual/context 守る","full"
"961","所","confirmed","visual/context こんな所/お望みの所","full"
"964","助","confirmed","visual/context 助けて","full"
"982","乗","confirmed","visual/context 乗る/同乗者","full"
"1008","世","confirmed","visual/context 世界","full"
"1010","成","confirmed","visual/context 成功/賛成/完成/達成","full"
"1069","存","confirmed","visual/context 生存","full"
"1071","他","confirmed","visual/context 他の武器/他に","full"
"1079","代","confirmed","visual/context 代わりに/時代","full"
"1080","題","confirmed","visual/context 問題","full"
"1082","叩","confirmed","visual/context 叩きつぶす","full"
"1101","着","confirmed","visual/context 落ち着け/装着/決着","full"
"1109","直","confirmed","bitmap-corrected 2026-09-17 (seed 追): ROM tile shows 直; context 直撃させ/直撃","full"
"1113","追","confirmed","visual/context 追う/追い詰める","full"
"1167","派","confirmed","visual/context 流派/派手","full"
"1208","物","confirmed","visual/context 生物/建物","full"
"1216","別","confirmed","visual/context 特別/無差別/性別/別れ","full"
"1226","報","confirmed","visual/context 報告/情報","full"
"1228","放","confirmed","visual/context 火炎放射器/放っておけ/地球解放戦線機構","full"
"1244","未","confirmed","visual/context 未来","full"
"1287","立","confirmed","visual/context 立つ/立てる","full"
"1311","和","confirmed","visual/context 平和","full"
"355","線","confirmed","visual chart/context 線路/水平線/防衛線","full"
"522","員","confirmed","visual chart/context 全員/戦闘員","full"
"863","降","confirmed","visual chart/context 急降下/降伏","full"
"1095","男","confirmed","visual chart/context 男なら/最強の男","full"
"498","日","confirmed","visual chart/context 今日/流星が落ちた日","full"
"1161","念","confirmed","visual chart/context 残念/観念","full"
"1160","年","confirmed","visual chart/context 100年早い","full"
"854","好","confirmed","visual chart/context 好き勝手","full"
"1046","想","confirmed","visual chart/context 理想/予想","full"
"599","調","confirmed","visual chart/context 調べる/調子/調整","full"
"438","真","confirmed","visual chart/context 真・ゲッター/真マッハ","full"
"593","数","confirmed","visual chart/context 弾数/ターン数","full"
"1236","望","confirmed","visual chart/context 望む/希望/お望み","full"
"908","止","confirmed","visual chart/context 止める/停止","full"
"743","関","confirmed","visual chart/context 対空機関砲","full"
"839","呼","confirmed","visual chart/context 呼ぶ/お呼び","full"
"1200","父","confirmed","bitmap-corrected 2026-09-17 (seed 姉): ROM tile shows 父; context 俺の父さんの/父さん","full"
"395","運","confirmed","visual chart/context 運動性/運命","full"
"424","敗","confirmed","visual chart/context 失敗","full"
"747","危","confirmed","visual chart/context 危ない/危なかった","full"
"746","願","confirmed","visual chart/context お願い/願おう","full"
"1049","争","confirmed","visual chart/context 戦争/争い","full"
"570","定","confirmed","visual chart/context 決定/設定; duplicate slot","full"
"1098","置","confirmed","visual chart/context 修理装置","full"
"582","得","confirmed","visual chart/context 得る/得意/説得","full"
"541","葉","confirmed","visual chart/context 葉月博士/言葉","full"
"449","令","confirmed","visual chart/context 命令/指令","full"
"1072","多","confirmed","visual chart/context 多弾頭/多連","full"
"510","介","confirmed","visual chart/context 大介/宇門大介","full"
"1094","断","confirmed","bitmap-corrected 2026-09-17 (seed 対): ROM tile shows 断; context 斧無双断/断空剣","full"
"383","集","confirmed","visual chart/context 集中/集束","full"
"936","取","confirmed","visual chart/context 取る/受け取る/手間取る","full"
"762","義","confirmed","visual chart/context 正義/主義/大義","full"
"401","身","confirmed","visual chart/context 分身/自身; duplicate slot","full"
"627","制","confirmed","visual chart/context 制限/制御/強制","full"
"959","準","confirmed","visual chart/context 準備","full"
"905","指","confirmed","visual chart/context 指定/指令","full"
"670","引","confirmed","visual chart/context 引きあげる/長引く","full"
"616","消","confirmed","visual chart/context 消す/消費/消滅","full"
"1030","絶","confirmed","visual chart/context 絶える/絶望/絶対","full"
"1077","態","confirmed","visual chart/context 状態/事態/実態","full"
"770","休","confirmed","visual chart/context 休止/休む","full"
"1039","然","confirmed","visual chart/context 当然/全然/同然","full"
"931","邪","confirmed","visual chart/context 邪魔","full"
"633","内","confirmed","visual chart/context 以内/括弧内/射程内","full"
"807","苦","confirmed","visual chart/context 苦しい/苦しみ/ご苦労","full"
"1257","戻","confirmed","visual chart/context 戻る/戻って","full"
"536","羅","confirmed","visual chart/context 結城沙羅/沙羅","full"
"604","限","confirmed","visual chart/context 限界/限り","full"
"1012","整","confirmed","visual chart/context 調整/整備/整う","full"
"1295","類","confirmed","visual chart/context 人類/種類","full"
"523","諸","confirmed","visual chart/context 諸君","full"
"497","官","confirmed","visual chart/context 士官/長官/司令官","full"
"1123","撤","confirmed","visual chart/context 撤退","full"
"429","型","confirmed","visual chart/context 量産型/大型/小型","full"
"865","刻","confirmed","visual chart/context 一刻/切り刻む","full"
"1323","師","confirmed","visual chart/context 師匠","full"
"562","次","confirmed","visual chart/context 次のマップ/次で決まり","full"
"1009","勢","confirmed","visual chart/context 情勢/軍勢/勢い","full"
"1256","黙","confirmed","visual chart/context 黙って/黙れ","full"
"410","乱","confirmed","visual chart/context 反乱/混乱/かく乱","full"
"592","総","confirmed","visual chart/context 総攻撃/総員","full"
"1065","足","confirmed","visual chart/context 足りない/不足/足手まとい","full"
"232","m","confirmed","visual chart/context 120mm/50mm","half"
"738","甘","confirmed","visual chart/context 甘い","full"
"965","除","confirmed","visual chart/context 除く/排除","full"
"656","圧","confirmed","visual chart/context 圧倒的/制圧","full"
"954","重","confirmed","visual chart/context 反重力","full"
"247","ヴ","confirmed","visual chart/context ヴォイス/ヴァルキュリア","half"
"596","第","confirmed","visual chart/context 第08MS小隊/第一","full"
"860","構","confirmed","visual chart/context 構わん/構え/機構","full"
"935","主","confirmed","visual chart/context 主砲/主義","full"
"1284","絡","confirmed","visual chart/context 連絡","full"
"535","沙","confirmed","visual chart/context 結城沙羅","full"
"786","協","confirmed","visual chart/context 協力","full"
"847","悟","confirmed","visual chart/context 覚悟","full"
"396","脱","confirmed","visual chart/context 脱出","full"
"1275","予","confirmed","visual chart/context 予想/予測/最優先","full"
"998","申","confirmed","visual chart/context 申しわけ/申し上げる","full"
"1286","裏","confirmed","visual chart/context 裏切り","full"
"823","迎","confirmed","visual chart/context 迎え撃つ/迎撃","full"
"1220","返","confirmed","visual chart/context 返す/お返し/引き返す","full"
"651","設","confirmed","visual chart/context 設定/設計","full"
"716","各","confirmed","visual chart/context 各部/各砲","full"
"1102","仲","confirmed","visual chart/context 仲間","full"
"487","馬","confirmed","visual chart/context 司馬/流竜馬","full"
"381","加","confirmed","visual chart/context 追加/手加減","full"
"500","飛","confirmed","visual chart/context 飛行/飛べる","full"
"540","忍","confirmed","visual chart/context 藤原忍","full"
"967","匠","confirmed","visual chart/context 師匠","full"
"984","嬢","confirmed","visual chart/context お嬢様","full"
"1099","遅","confirmed","visual chart/context 遅い/遅すぎる","full"
"563","順","confirmed","visual chart/context 順調/手順","full"
"955","銃","confirmed","visual chart/context 機銃/銃身","full"
"695","価","confirmed","visual chart/context 価値/評価","full"
"1112","墜","confirmed","visual chart/context 撃墜/墜落","full"
"1147","頭","confirmed","visual chart/context 多弾頭/頭が痛い","full"
"1181","半","confirmed","visual chart/context 半分/半端/半日","full"
"1269","優","confirmed","visual chart/context 優先/優秀/優れる","full"
"1031","先","confirmed","visual chart/context 先生/優先/先攻","full"
